handle,product_title,status,expected_image_filename,shopify_cdn_image_url,image_alt_text,match_status,notes
sabz-elaichi,Elaichi Sabz - الائچی,active,Elaichi Sabz.png | Elaichi Sabz.jpg | Elaichi Sabz.jpeg | Elaichi Sabz.webp | Elaichi-Sabz.png | Elaichi-Sabz.jpg | Elaichi-Sabz.jpeg | Elaichi-Sabz.webp | elaichi-sabz.png | elaichi-sabz.jpg | elaichi-sabz.jpeg | elaichi-sabz.webp | Sabz Elaichi.png | Sabz Elaichi.jpg | Sabz Elaichi.jpeg | Sabz Elaichi.webp | Sabz-Elaichi.png | Sabz-Elaichi.jpg | Sabz-Elaichi.jpeg | Sabz-Elaichi.webp | sabz-elaichi.png | sabz-elaichi.jpg | sabz-elaichi.jpeg | sabz-elaichi.webp,,Morganics Elaichi Sabz - الائچی,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
pista-namkeen-roasted,Pista Namkeen - مغز پستہ,active,Pista Namkeen.png | Pista Namkeen.jpg | Pista Namkeen.jpeg | Pista Namkeen.webp | Pista-Namkeen.png | Pista-Namkeen.jpg | Pista-Namkeen.jpeg | Pista-Namkeen.webp | pista-namkeen.png | pista-namkeen.jpg | pista-namkeen.jpeg | pista-namkeen.webp | Pista Namkeen Roasted.png | Pista Namkeen Roasted.jpg | Pista Namkeen Roasted.jpeg | Pista Namkeen Roasted.webp | Pista-Namkeen-Roasted.png | Pista-Namkeen-Roasted.jpg | Pista-Namkeen-Roasted.jpeg | Pista-Namkeen-Roasted.webp | pista-namkeen-roasted.png | pista-namkeen-roasted.jpg | pista-namkeen-roasted.jpeg | pista-namkeen-roasted.webp,,Morganics Pista Namkeen - مغز پستہ,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
four-seeds,Char maghaz - چار مغز,active,Char maghaz.png | Char maghaz.jpg | Char maghaz.jpeg | Char maghaz.webp | Char-maghaz.png | Char-maghaz.jpg | Char-maghaz.jpeg | Char-maghaz.webp | char-maghaz.png | char-maghaz.jpg | char-maghaz.jpeg | char-maghaz.webp | Four Seeds.png | Four Seeds.jpg | Four Seeds.jpeg | Four Seeds.webp | Four-Seeds.png | Four-Seeds.jpg | Four-Seeds.jpeg | Four-Seeds.webp | four-seeds.png | four-seeds.jpg | four-seeds.jpeg | four-seeds.webp,,Morganics Char maghaz - چار مغز,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
sogi-small-kishmish-mewa,Sogi Sundarhani Mewa - سوگی سندرہانی میوہ,active,Sogi Small Kishmish Mewa.png | Sogi Small Kishmish Mewa.jpg | Sogi Small Kishmish Mewa.jpeg | Sogi Small Kishmish Mewa.webp | Sogi-Small-Kishmish-Mewa.png | Sogi-Small-Kishmish-Mewa.jpg | Sogi-Small-Kishmish-Mewa.jpeg | Sogi-Small-Kishmish-Mewa.webp | sogi-small-kishmish-mewa.png | sogi-small-kishmish-mewa.jpg | sogi-small-kishmish-mewa.jpeg | sogi-small-kishmish-mewa.webp | Sogi Sundarhani Mewa.png | Sogi Sundarhani Mewa.jpg | Sogi Sundarhani Mewa.jpeg | Sogi Sundarhani Mewa.webp | Sogi-Sundarhani-Mewa.png | Sogi-Sundarhani-Mewa.jpg | Sogi-Sundarhani-Mewa.jpeg | Sogi-Sundarhani-Mewa.webp | sogi-sundarhani-mewa.png | sogi-sundarhani-mewa.jpg | sogi-sundarhani-mewa.jpeg | sogi-sundarhani-mewa.webp,,Morganics Sogi Sundarhani Mewa - سوگی سندرہانی میوہ,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
moosli-white,Moosli White - موصلی سفید,active,Moosli White.png | Moosli White.jpg | Moosli White.jpeg | Moosli White.webp | Moosli-White.png | Moosli-White.jpg | Moosli-White.jpeg | Moosli-White.webp | moosli-white.png | moosli-white.jpg | moosli-white.jpeg | moosli-white.webp,,Morganics Moosli White - موصلی سفید,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
tukhm-methi,Tukhm Methi - تخم میتھی دانہ,active,Tukhm Methi.png | Tukhm Methi.jpg | Tukhm Methi.jpeg | Tukhm Methi.webp | Tukhm-Methi.png | Tukhm-Methi.jpg | Tukhm-Methi.jpeg | Tukhm-Methi.webp | tukhm-methi.png | tukhm-methi.jpg | tukhm-methi.jpeg | tukhm-methi.webp,,Morganics Tukhm Methi - تخم میتھی دانہ,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
sarson-yellow,Mustard seeds - سرسوں سفید,active,Mustard Seeds.png | Mustard Seeds.jpg | Mustard Seeds.jpeg | Mustard Seeds.webp | Mustard-Seeds.png | Mustard-Seeds.jpg | Mustard-Seeds.jpeg | Mustard-Seeds.webp | mustard-seeds.png | mustard-seeds.jpg | mustard-seeds.jpeg | mustard-seeds.webp | Mustard seeds.png | Mustard seeds.jpg | Mustard seeds.jpeg | Mustard seeds.webp | Mustard-seeds.png | Mustard-seeds.jpg | Mustard-seeds.jpeg | Mustard-seeds.webp | Sarson Safaid.png | Sarson Safaid.jpg | Sarson Safaid.jpeg | Sarson Safaid.webp | Sarson-Safaid.png | Sarson-Safaid.jpg | Sarson-Safaid.jpeg | Sarson-Safaid.webp | sarson-safaid.png | sarson-safaid.jpg | sarson-safaid.jpeg | sarson-safaid.webp | Sarson Yellow.png | Sarson Yellow.jpg | Sarson Yellow.jpeg | Sarson Yellow.webp | Sarson-Yellow.png | Sarson-Yellow.jpg | Sarson-Yellow.jpeg | Sarson-Yellow.webp | sarson-yellow.png | sarson-yellow.jpg | sarson-yellow.jpeg | sarson-yellow.webp,,Morganics Mustard seeds - سرسوں سفید,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
multani-mitti,Multani Mitti - ملتانی مٹی,active,Multani Mitti.png | Multani Mitti.jpg | Multani Mitti.jpeg | Multani Mitti.webp | Multani-Mitti.png | Multani-Mitti.jpg | Multani-Mitti.jpeg | Multani-Mitti.webp | multani-mitti.png | multani-mitti.jpg | multani-mitti.jpeg | multani-mitti.webp,,Morganics Multani Mitti - ملتانی مٹی,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
maghaz-badam-desi-gurbandi,Maghaz Badam Gurbandi - بادام گربندی,active,Maghaz Badam Desi Gurbandi.png | Maghaz Badam Desi Gurbandi.jpg | Maghaz Badam Desi Gurbandi.jpeg | Maghaz Badam Desi Gurbandi.webp | Maghaz-Badam-Desi-Gurbandi.png | Maghaz-Badam-Desi-Gurbandi.jpg | Maghaz-Badam-Desi-Gurbandi.jpeg | Maghaz-Badam-Desi-Gurbandi.webp | maghaz-badam-desi-gurbandi.png | maghaz-badam-desi-gurbandi.jpg | maghaz-badam-desi-gurbandi.jpeg | maghaz-badam-desi-gurbandi.webp | Maghaz Badam Gurbandi.png | Maghaz Badam Gurbandi.jpg | Maghaz Badam Gurbandi.jpeg | Maghaz Badam Gurbandi.webp | Maghaz-Badam-Gurbandi.png | Maghaz-Badam-Gurbandi.jpg | Maghaz-Badam-Gurbandi.jpeg | Maghaz-Badam-Gurbandi.webp | maghaz-badam-gurbandi.png | maghaz-badam-gurbandi.jpg | maghaz-badam-gurbandi.jpeg | maghaz-badam-gurbandi.webp,,Morganics Maghaz Badam Gurbandi - بادام گربندی,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
guggul,Guggul - گوگل,active,Guggul.png | Guggul.jpg | Guggul.jpeg | Guggul.webp | guggul.png | guggul.jpg | guggul.jpeg | guggul.webp,,Morganics Guggul - گوگل,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
rosemary-leaves,Rosemary Leaves - روزمیری,active,Rosemary Leaves.png | Rosemary Leaves.jpg | Rosemary Leaves.jpeg | Rosemary Leaves.webp | Rosemary-Leaves.png | Rosemary-Leaves.jpg | Rosemary-Leaves.jpeg | Rosemary-Leaves.webp | rosemary-leaves.png | rosemary-leaves.jpg | rosemary-leaves.jpeg | rosemary-leaves.webp,,Morganics Rosemary Leaves - روزمیری,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
bheray,Bheray - بھیرے,active,Bheray.png | Bheray.jpg | Bheray.jpeg | Bheray.webp | bheray.png | bheray.jpg | bheray.jpeg | bheray.webp,,Morganics Bheray - بھیرے,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
salab-punja,Salab Punja - ثعلب پنجہ,active,Salab Punja.png | Salab Punja.jpg | Salab Punja.jpeg | Salab Punja.webp | Salab-Punja.png | Salab-Punja.jpg | Salab-Punja.jpeg | Salab-Punja.webp | salab-punja.png | salab-punja.jpg | salab-punja.jpeg | salab-punja.webp,,Morganics Salab Punja - ثعلب پنجہ,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
quinoa,Quinoa - کینوا,active,Quinoa.png | Quinoa.jpg | Quinoa.jpeg | Quinoa.webp | quinoa.png | quinoa.jpg | quinoa.jpeg | quinoa.webp,,Morganics Quinoa - کینوا,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
kalonji,Kalonji - کلونجی,active,Kalonji.png | Kalonji.jpg | Kalonji.jpeg | Kalonji.webp | kalonji.png | kalonji.jpg | kalonji.jpeg | kalonji.webp,,Morganics Kalonji - کلونجی,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
alsi,Alsi - السی,active,Alsi.png | Alsi.jpg | Alsi.jpeg | Alsi.webp | alsi.png | alsi.jpg | alsi.jpeg | alsi.webp,,Morganics Alsi - السی,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
ajwain,Ajwain - اجوائن,active,Ajwain.png | Ajwain.jpg | Ajwain.jpeg | Ajwain.webp | ajwain.png | ajwain.jpg | ajwain.jpeg | ajwain.webp,,Morganics Ajwain - اجوائن,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
california-almonds-maghaz-badam,American almond - مغز بادام امریکن,active,American almond.png | American almond.jpg | American almond.jpeg | American almond.webp | American-almond.png | American-almond.jpg | American-almond.jpeg | American-almond.webp | american-almond.png | american-almond.jpg | american-almond.jpeg | american-almond.webp | California Almonds Maghaz Badam.png | California Almonds Maghaz Badam.jpg | California Almonds Maghaz Badam.jpeg | California Almonds Maghaz Badam.webp | California-Almonds-Maghaz-Badam.png | California-Almonds-Maghaz-Badam.jpg | California-Almonds-Maghaz-Badam.jpeg | California-Almonds-Maghaz-Badam.webp | california-almonds-maghaz-badam.png | california-almonds-maghaz-badam.jpg | california-almonds-maghaz-badam.jpeg | california-almonds-maghaz-badam.webp,,Morganics American almond - مغز بادام امریکن,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
ginseng-root-red,Ginseng Root red - جنسنگ لال,active,Ginseng Root Red.png | Ginseng Root Red.jpg | Ginseng Root Red.jpeg | Ginseng Root Red.webp | Ginseng-Root-Red.png | Ginseng-Root-Red.jpg | Ginseng-Root-Red.jpeg | Ginseng-Root-Red.webp | ginseng-root-red.png | ginseng-root-red.jpg | ginseng-root-red.jpeg | ginseng-root-red.webp | Ginseng Root red.png | Ginseng Root red.jpg | Ginseng Root red.jpeg | Ginseng Root red.webp | Ginseng-Root-red.png | Ginseng-Root-red.jpg | Ginseng-Root-red.jpeg | Ginseng-Root-red.webp,,Morganics Ginseng Root red - جنسنگ لال,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
salab-misri,Salab Misri - ثعلب مصری,active,Salab Misri.png | Salab Misri.jpg | Salab Misri.jpeg | Salab Misri.webp | Salab-Misri.png | Salab-Misri.jpg | Salab-Misri.jpeg | Salab-Misri.webp | salab-misri.png | salab-misri.jpg | salab-misri.jpeg | salab-misri.webp,,Morganics Salab Misri - ثعلب مصری,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
dar-chini-cigar-gol,Dar Chini Gol - دارچینی,active,Dar Chini Cigar Gol.png | Dar Chini Cigar Gol.jpg | Dar Chini Cigar Gol.jpeg | Dar Chini Cigar Gol.webp | Dar-Chini-Cigar-Gol.png | Dar-Chini-Cigar-Gol.jpg | Dar-Chini-Cigar-Gol.jpeg | Dar-Chini-Cigar-Gol.webp | dar-chini-cigar-gol.png | dar-chini-cigar-gol.jpg | dar-chini-cigar-gol.jpeg | dar-chini-cigar-gol.webp | Dar Chini Gol.png | Dar Chini Gol.jpg | Dar Chini Gol.jpeg | Dar Chini Gol.webp | Dar-Chini-Gol.png | Dar-Chini-Gol.jpg | Dar-Chini-Gol.jpeg | Dar-Chini-Gol.webp | dar-chini-gol.png | dar-chini-gol.jpg | dar-chini-gol.jpeg | dar-chini-gol.webp | Darchini.png | Darchini.jpg | Darchini.jpeg | Darchini.webp | darchini.png | darchini.jpg | darchini.jpeg | darchini.webp,,Morganics Dar Chini Gol - دارچینی,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
saffron,Saffron - زعفران,active,Saffron.png | Saffron.jpg | Saffron.jpeg | Saffron.webp | saffron.png | saffron.jpg | saffron.jpeg | saffron.webp,,Morganics Saffron - زعفران,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
phool-makhana,Phool Makhana - پھول مکھانہ,active,Phool Makhana.png | Phool Makhana.jpg | Phool Makhana.jpeg | Phool Makhana.webp | Phool-Makhana.png | Phool-Makhana.jpg | Phool-Makhana.jpeg | Phool-Makhana.webp | phool-makhana.png | phool-makhana.jpg | phool-makhana.jpeg | phool-makhana.webp,,Morganics Phool Makhana - پھول مکھانہ,waiting_for_shopify_cdn_url,Paste public Shopify Files CDN URL after uploading/confirming image in Shopify Admin > Content > Files.
