Handle,Title,Namespace,Key,Type,Value,Source Field,Import Notes
kajo-roasted,Kajo Roasted,custom,use_cases,list.single_line_text_field,"[""Clean snacking"",""Tea-time serving"",""Breakfast bowls"",""Desserts"",""Premium gifting""]",useCases,
kajo-roasted,Kajo Roasted,custom,benefits,list.single_line_text_field,"[""Naturally satisfying texture"",""Family serving value"",""Premium pantry appeal""]",benefits,
kajo-roasted,Kajo Roasted,custom,usage,multi_line_text_field,"Serve directly for tea-time, office snacking, travel, guest trays or gift boxes. Keep sealed after opening to protect crunch.",usage,
kajo-roasted,Kajo Roasted,custom,precautions,multi_line_text_field,"Contains tree nuts and may not suit customers with nut allergies. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.",precautions,
kajo-roasted,Kajo Roasted,custom,storage,multi_line_text_field,"Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.",storage,
kajo-roasted,Kajo Roasted,custom,faqs,json,"[{""q"":""What is Kajo Roasted?"",""a"":""Kajo Roasted is a Morganics nuts product selected for practical pantry, kitchen, snacking, gifting or traditional-use routines depending on the ingredient.""},{""q"":""How can I use Kajo Roasted?"",""a"":""Serve directly for tea-time, office snacking, travel, guest trays or gift boxes. Keep sealed after opening to protect crunch.""},{""q"":""How should I store Kajo Roasted?"",""a"":""Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive nuts, dried fruits or opened packs in hot/humid weather if needed.""},{""q"":""Is Kajo Roasted a medicine?"",""a"":""No. Morganics product content is for food, pantry and ingredient education only. It does not diagnose, cure, treat or prevent any disease.""}]",faqs,
kajo-roasted,Kajo Roasted,custom,keywords,multi_line_text_field,"Kajo Roasted, بھنا ہوا کاجو, Morganics Kajo Roasted, Kajo Roasted Pakistan, buy Kajo Roasted online, Kajo Roasted price in Pakistan, Nuts, Kaju Roasted, Roasted Cashews, Kajo Roast, Ajwa Dates, Honey, Daliya Oats, Mixed Dried Fruits",keywords,
kajo-roasted,Kajo Roasted,custom,aliases,list.single_line_text_field,"[""Kaju Roasted"",""Roasted Cashews"",""Kajo Roast"",""Kajo Roasted"",""بھنا ہوا کاجو""]",aliases,
kajo-roasted,Kajo Roasted,custom,pairing_ideas,list.single_line_text_field,"[""Ajwa Dates"",""Honey"",""Daliya Oats"",""Mixed Dried Fruits""]",pairingIdeas,
kajo-roasted,Kajo Roasted,custom,source_id,single_line_text_field,kajo-roasted,id,
kajo-roasted,Kajo Roasted,custom,source_sku,single_line_text_field,CAS-RST-250,sku,
hareer-sabaz,Hareer Sabaz,custom,short_description,multi_line_text_field,"Hareer Sabaz is a Morganics botanicals item for traditional pantry routines, guided wellness use and specialist ingredient needs, packed for freshness, clear storage care and practical Pakistani ecommerce use.",shortDescription,
hareer-sabaz,Hareer Sabaz,custom,use_cases,list.single_line_text_field,"[""Traditional pantry routine"",""Guided wellness use"",""Specialist ingredient needs""]",useCases,
hareer-sabaz,Hareer Sabaz,custom,benefits,list.single_line_text_field,"[""Heritage use"",""Careful selection"",""Clear precaution guidance""]",benefits,
hareer-sabaz,Hareer Sabaz,custom,usage,multi_line_text_field,Use only in sensible quantities according to familiar traditional practice or professional guidance.,usage,
hareer-sabaz,Hareer Sabaz,custom,precautions,multi_line_text_field,"Use botanicals with professional guidance if pregnant, nursing, medicated, allergic or managing a health condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.",precautions,
hareer-sabaz,Hareer Sabaz,custom,storage,multi_line_text_field,"Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.",storage,
hareer-sabaz,Hareer Sabaz,custom,faqs,json,"[{""q"":""What is Hareer Sabaz?"",""a"":""Hareer Sabaz is a Morganics botanicals product selected for practical pantry, kitchen, snacking, gifting or traditional-use routines depending on the ingredient.""},{""q"":""How can I use Hareer Sabaz?"",""a"":""Use only in sensible quantities according to familiar traditional practice or professional guidance.""},{""q"":""How should I store Hareer Sabaz?"",""a"":""Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive nuts, dried fruits or opened packs in hot/humid weather if needed.""},{""q"":""Is Hareer Sabaz a medicine?"",""a"":""No. Morganics product content is for food, pantry and ingredient education only. It does not diagnose, cure, treat or prevent any disease.""}]",faqs,
hareer-sabaz,Hareer Sabaz,custom,keywords,multi_line_text_field,"Hareer Sabaz, Morganics Hareer Sabaz, Hareer Sabaz Pakistan, buy Hareer Sabaz online, Hareer Sabaz price in Pakistan, Botanicals, Honey, Elaichi Sabz, Daliya Oats, consult-guided products",keywords,
hareer-sabaz,Hareer Sabaz,custom,pairing_ideas,list.single_line_text_field,"[""Honey"",""Elaichi Sabz"",""Daliya Oats"",""consult-guided products""]",pairingIdeas,
hareer-sabaz,Hareer Sabaz,custom,source_id,single_line_text_field,hareer-sabaz,id,
hareer-sabaz,Hareer Sabaz,custom,source_sku,single_line_text_field,HAR-SAB-100,sku,
kajo-fry,Kajo Fry,custom,urdu_name,single_line_text_field,کاجو فرائی,urduName/urduTitle,
kajo-fry,Kajo Fry,custom,urdu_title,single_line_text_field,کاجو فرائی,urduTitle,
kajo-fry,Kajo Fry,custom,short_description,multi_line_text_field,"Kajo Fry is a Morganics nuts item for clean snacking, tea-time serving, breakfast bowls, desserts and premium gifting, packed for freshness, clear storage care and practical Pakistani ecommerce use.",shortDescription,
kajo-fry,Kajo Fry,custom,use_cases,list.single_line_text_field,"[""Clean snacking"",""Tea-time serving"",""Breakfast bowls"",""Desserts"",""Premium gifting""]",useCases,
kajo-fry,Kajo Fry,custom,benefits,list.single_line_text_field,"[""Naturally satisfying texture"",""Family serving value"",""Premium pantry appeal""]",benefits,
kajo-fry,Kajo Fry,custom,usage,multi_line_text_field,"Serve directly for tea-time, office snacking, travel, guest trays or gift boxes. Keep sealed after opening to protect crunch.",usage,
kajo-fry,Kajo Fry,custom,precautions,multi_line_text_field,"Contains tree nuts and may not suit customers with nut allergies. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.",precautions,
kajo-fry,Kajo Fry,custom,storage,multi_line_text_field,"Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.",storage,
kajo-fry,Kajo Fry,custom,faqs,json,"[{""q"":""What is Kajo Fry?"",""a"":""Kajo Fry is a Morganics nuts product selected for practical pantry, kitchen, snacking, gifting or traditional-use routines depending on the ingredient.""},{""q"":""How can I use Kajo Fry?"",""a"":""Serve directly for tea-time, office snacking, travel, guest trays or gift boxes. Keep sealed after opening to protect crunch.""},{""q"":""How should I store Kajo Fry?"",""a"":""Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive nuts, dried fruits or opened packs in hot/humid weather if needed.""},{""q"":""Is Kajo Fry a medicine?"",""a"":""No. Morganics product content is for food, pantry and ingredient education only. It does not diagnose, cure, treat or prevent any disease.""}]",faqs,
kajo-fry,Kajo Fry,custom,keywords,multi_line_text_field,"Kajo Fry, کاجو فرائی, Morganics Kajo Fry, Kajo Fry Pakistan, buy Kajo Fry online, Kajo Fry price in Pakistan, Nuts, Kaju Fry, Kaju Fried, Fried Cashews, Kajo Fried, Ajwa Dates, Honey, Daliya Oats, Mixed Dried Fruits",keywords,
kajo-fry,Kajo Fry,custom,aliases,list.single_line_text_field,"[""Kaju Fry"",""Kaju Fried"",""Fried Cashews"",""Kajo Fried"",""Kajo Fry"",""کاجو فرائی""]",aliases,
kajo-fry,Kajo Fry,custom,pairing_ideas,list.single_line_text_field,"[""Ajwa Dates"",""Honey"",""Daliya Oats"",""Mixed Dried Fruits""]",pairingIdeas,
kajo-fry,Kajo Fry,custom,source_id,single_line_text_field,kajo-fry,id,
kajo-fry,Kajo Fry,custom,source_sku,single_line_text_field,CAS-FRD-250,sku,
chasko-herb,Chasko Herb,custom,urdu_name,single_line_text_field,چسکو,urduName/urduTitle,
chasko-herb,Chasko Herb,custom,short_description,multi_line_text_field,"Chasko Herb is a Morganics botanicals item for traditional pantry routines, guided wellness use and specialist ingredient needs, packed for freshness, clear storage care and practical Pakistani ecommerce use.",shortDescription,
chasko-herb,Chasko Herb,custom,use_cases,list.single_line_text_field,"[""Traditional pantry routine"",""Guided wellness use"",""Specialist ingredient needs""]",useCases,
chasko-herb,Chasko Herb,custom,benefits,list.single_line_text_field,"[""Heritage use"",""Careful selection"",""Clear precaution guidance""]",benefits,
chasko-herb,Chasko Herb,custom,usage,multi_line_text_field,Use only in sensible quantities according to familiar traditional practice or professional guidance.,usage,
chasko-herb,Chasko Herb,custom,precautions,multi_line_text_field,"Use botanicals with professional guidance if pregnant, nursing, medicated, allergic or managing a health condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.",precautions,
chasko-herb,Chasko Herb,custom,storage,multi_line_text_field,"Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.",storage,
chasko-herb,Chasko Herb,custom,faqs,json,"[{""q"":""What is Chasko Herb?"",""a"":""Chasko Herb is a Morganics botanicals product selected for practical pantry, kitchen, snacking, gifting or traditional-use routines depending on the ingredient.""},{""q"":""How can I use Chasko Herb?"",""a"":""Use only in sensible quantities according to familiar traditional practice or professional guidance.""},{""q"":""How should I store Chasko Herb?"",""a"":""Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive nuts, dried fruits or opened packs in hot/humid weather if needed.""},{""q"":""Is Chasko Herb a medicine?"",""a"":""No. Morganics product content is for food, pantry and ingredient education only. It does not diagnose, cure, treat or prevent any disease.""}]",faqs,
chasko-herb,Chasko Herb,custom,keywords,multi_line_text_field,"Chasko Herb, چسکو, Morganics Chasko Herb, Chasko Herb Pakistan, buy Chasko Herb online, Chasko Herb price in Pakistan, Botanicals, Honey, Elaichi Sabz, Daliya Oats, consult-guided products",keywords,
chasko-herb,Chasko Herb,custom,pairing_ideas,list.single_line_text_field,"[""Honey"",""Elaichi Sabz"",""Daliya Oats"",""consult-guided products""]",pairingIdeas,
chasko-herb,Chasko Herb,custom,source_id,single_line_text_field,chasko-herb,id,
chasko-herb,Chasko Herb,custom,source_sku,single_line_text_field,CHASKO-100,sku,
ginseng-white,Ginseng White,custom,short_description,multi_line_text_field,"Ginseng White is a Morganics botanicals item for traditional pantry routines, guided wellness use and specialist ingredient needs, packed for freshness, clear storage care and practical Pakistani ecommerce use.",shortDescription,
ginseng-white,Ginseng White,custom,use_cases,list.single_line_text_field,"[""Traditional pantry routine"",""Guided wellness use"",""Specialist ingredient needs""]",useCases,
ginseng-white,Ginseng White,custom,benefits,list.single_line_text_field,"[""Heritage use"",""Careful selection"",""Clear precaution guidance""]",benefits,
ginseng-white,Ginseng White,custom,usage,multi_line_text_field,"Use only with careful guidance. Avoid casual high-dose use and consult a qualified professional where health status, medicines, pregnancy, nursing or allergies are relevant.",usage,
ginseng-white,Ginseng White,custom,precautions,multi_line_text_field,"Use botanicals with professional guidance if pregnant, nursing, medicated, allergic or managing a health condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.",precautions,
ginseng-white,Ginseng White,custom,storage,multi_line_text_field,"Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.",storage,
ginseng-white,Ginseng White,custom,faqs,json,"[{""q"":""What is Ginseng White?"",""a"":""Ginseng White is a Morganics botanicals product selected for practical pantry, kitchen, snacking, gifting or traditional-use routines depending on the ingredient.""},{""q"":""How can I use Ginseng White?"",""a"":""Use only with careful guidance. Avoid casual high-dose use and consult a qualified professional where health status, medicines, pregnancy, nursing or allergies are relevant.""},{""q"":""How should I store Ginseng White?"",""a"":""Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive nuts, dried fruits or opened packs in hot/humid weather if needed.""},{""q"":""Is Ginseng White a medicine?"",""a"":""No. Morganics product content is for food, pantry and ingredient education only. It does not diagnose, cure, treat or prevent any disease.""}]",faqs,
ginseng-white,Ginseng White,custom,keywords,multi_line_text_field,"Ginseng White, Morganics Ginseng White, Ginseng White Pakistan, buy Ginseng White online, Ginseng White price in Pakistan, Botanicals, Honey, Elaichi Sabz, Daliya Oats, consult-guided products",keywords,
ginseng-white,Ginseng White,custom,pairing_ideas,list.single_line_text_field,"[""Honey"",""Elaichi Sabz"",""Daliya Oats"",""consult-guided products""]",pairingIdeas,
ginseng-white,Ginseng White,custom,source_id,single_line_text_field,ginseng-white,id,
ginseng-white,Ginseng White,custom,source_sku,single_line_text_field,GIN-WHT-50,sku,
ashwagandha,Ashwagandha,custom,urdu_name,single_line_text_field,اشوگندا,urduName/urduTitle,
ashwagandha,Ashwagandha,custom,short_description,multi_line_text_field,"Ashwagandha is a Morganics herbs item for tea, kitchen, aroma, traditional pantry and careful daily routines, packed for freshness, clear storage care and practical Pakistani ecommerce use.",shortDescription,
ashwagandha,Ashwagandha,custom,use_cases,list.single_line_text_field,"[""Tea"",""Kitchen use"",""Aroma"",""Traditional pantry"",""Careful daily routine""]",useCases,
ashwagandha,Ashwagandha,custom,benefits,list.single_line_text_field,"[""Aroma-led pantry use"",""Traditional familiarity"",""Practical kitchen routine""]",benefits,
ashwagandha,Ashwagandha,custom,usage,multi_line_text_field,"Use only with careful guidance. Avoid casual high-dose use and consult a qualified professional where health status, medicines, pregnancy, nursing or allergies are relevant.",usage,
ashwagandha,Ashwagandha,custom,precautions,multi_line_text_field,"Herbs may not suit every body; ask a qualified professional if pregnant, nursing, medicated or managing a condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.",precautions,
ashwagandha,Ashwagandha,custom,storage,multi_line_text_field,"Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.",storage,
ashwagandha,Ashwagandha,custom,faqs,json,"[{""q"":""What is Ashwagandha?"",""a"":""Ashwagandha is a Morganics herbs product selected for practical pantry, kitchen, snacking, gifting or traditional-use routines depending on the ingredient.""},{""q"":""How can I use Ashwagandha?"",""a"":""Use only with careful guidance. Avoid casual high-dose use and consult a qualified professional where health status, medicines, pregnancy, nursing or allergies are relevant.""},{""q"":""How should I store Ashwagandha?"",""a"":""Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive nuts, dried fruits or opened packs in hot/humid weather if needed.""},{""q"":""Is Ashwagandha a medicine?"",""a"":""No. Morganics product content is for food, pantry and ingredient education only. It does not diagnose, cure, treat or prevent any disease.""}]",faqs,
ashwagandha,Ashwagandha,custom,keywords,multi_line_text_field,"Ashwagandha, اشوگندا, Morganics Ashwagandha, Ashwagandha Pakistan, buy Ashwagandha online, Ashwagandha price in Pakistan, Herbs, Honey, Ajwain, Elaichi Sabz, Gur",keywords,
ashwagandha,Ashwagandha,custom,pairing_ideas,list.single_line_text_field,"[""Honey"",""Ajwain"",""Elaichi Sabz"",""Gur""]",pairingIdeas,
ashwagandha,Ashwagandha,custom,source_id,single_line_text_field,ashwagandha,id,
ashwagandha,Ashwagandha,custom,source_sku,single_line_text_field,ASH-100,sku,
gur,Gur,custom,urdu_name,single_line_text_field,گڑ,urduName/urduTitle,
gur,Gur,custom,short_description,multi_line_text_field,"Gur is a Morganics natural sweeteners item for tea, breakfast, desserts, cooking and family pantry restocking, packed for freshness, clear storage care and practical Pakistani ecommerce use.",shortDescription,
gur,Gur,custom,use_cases,list.single_line_text_field,"[""Tea"",""Breakfast"",""Desserts"",""Cooking"",""Family pantry restocking""]",useCases,
gur,Gur,custom,benefits,list.single_line_text_field,"[""Natural sweetness"",""Kitchen practicality"",""Familiar Pakistani taste""]",benefits,
gur,Gur,custom,usage,multi_line_text_field,"Use in tea, milk, breakfast bowls, desserts or cooking according to taste and dietary needs.",usage,
gur,Gur,custom,precautions,multi_line_text_field,"Natural sweeteners are still sweet foods; use according to your dietary needs. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.",precautions,
gur,Gur,custom,storage,multi_line_text_field,"Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.",storage,
gur,Gur,custom,faqs,json,"[{""q"":""What is Gur?"",""a"":""Gur is a Morganics natural sweeteners product selected for practical pantry, kitchen, snacking, gifting or traditional-use routines depending on the ingredient.""},{""q"":""How can I use Gur?"",""a"":""Use in tea, milk, breakfast bowls, desserts or cooking according to taste and dietary needs.""},{""q"":""How should I store Gur?"",""a"":""Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive nuts, dried fruits or opened packs in hot/humid weather if needed.""},{""q"":""Is Gur a medicine?"",""a"":""No. Morganics product content is for food, pantry and ingredient education only. It does not diagnose, cure, treat or prevent any disease.""}]",faqs,
gur,Gur,custom,keywords,multi_line_text_field,"Gur, گڑ, Morganics Gur, Gur Pakistan, buy Gur online, Gur price in Pakistan, Natural Sweeteners, Daliya Oats, Chia Seeds, Herbal teas, Dry fruits",keywords,
gur,Gur,custom,pairing_ideas,list.single_line_text_field,"[""Daliya Oats"",""Chia Seeds"",""Herbal teas"",""Dry fruits""]",pairingIdeas,
gur,Gur,custom,source_id,single_line_text_field,gur,id,
gur,Gur,custom,source_sku,single_line_text_field,GUR-500,sku,
konch,Konch,custom,urdu_name,single_line_text_field,کونچ,urduName/urduTitle,
konch,Konch,custom,short_description,multi_line_text_field,"Konch is a Morganics botanicals item for traditional pantry routines, guided wellness use and specialist ingredient needs, packed for freshness, clear storage care and practical Pakistani ecommerce use.",shortDescription,
konch,Konch,custom,use_cases,list.single_line_text_field,"[""Traditional pantry routine"",""Guided wellness use"",""Specialist ingredient needs""]",useCases,
konch,Konch,custom,benefits,list.single_line_text_field,"[""Heritage use"",""Careful selection"",""Clear precaution guidance""]",benefits,
konch,Konch,custom,usage,multi_line_text_field,"Use only with careful guidance. Avoid casual high-dose use and consult a qualified professional where health status, medicines, pregnancy, nursing or allergies are relevant.",usage,
konch,Konch,custom,precautions,multi_line_text_field,"Use botanicals with professional guidance if pregnant, nursing, medicated, allergic or managing a health condition. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.",precautions,
konch,Konch,custom,storage,multi_line_text_field,"Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.",storage,
konch,Konch,custom,faqs,json,"[{""q"":""What is Konch?"",""a"":""Konch is a Morganics botanicals product selected for practical pantry, kitchen, snacking, gifting or traditional-use routines depending on the ingredient.""},{""q"":""How can I use Konch?"",""a"":""Use only with careful guidance. Avoid casual high-dose use and consult a qualified professional where health status, medicines, pregnancy, nursing or allergies are relevant.""},{""q"":""How should I store Konch?"",""a"":""Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive nuts, dried fruits or opened packs in hot/humid weather if needed.""},{""q"":""Is Konch a medicine?"",""a"":""No. Morganics product content is for food, pantry and ingredient education only. It does not diagnose, cure, treat or prevent any disease.""}]",faqs,
konch,Konch,custom,keywords,multi_line_text_field,"Konch, کونچ, Morganics Konch, Konch Pakistan, buy Konch online, Konch price in Pakistan, Botanicals, Honey, Elaichi Sabz, Daliya Oats, consult-guided products",keywords,
konch,Konch,custom,pairing_ideas,list.single_line_text_field,"[""Honey"",""Elaichi Sabz"",""Daliya Oats"",""consult-guided products""]",pairingIdeas,
konch,Konch,custom,source_id,single_line_text_field,konch,id,
konch,Konch,custom,source_sku,single_line_text_field,KON-100,sku,
sarson-black,Sarson Black,custom,urdu_name,single_line_text_field,کالی سرسوں,urduName/urduTitle,
sarson-black,Sarson Black,custom,urdu_title,single_line_text_field,کالی سرسوں,urduTitle,
sarson-black,Sarson Black,custom,short_description,multi_line_text_field,"Sarson Black is a Morganics seeds item for breakfast bowls, soaked drinks, salads, baking and clean snack portions, packed for freshness, clear storage care and practical Pakistani ecommerce use.",shortDescription,
sarson-black,Sarson Black,custom,use_cases,list.single_line_text_field,"[""Breakfast bowls"",""Soaked drinks"",""Salads"",""Baking"",""Clean snack portions""]",useCases,
sarson-black,Sarson Black,custom,benefits,list.single_line_text_field,"[""Small-format pantry convenience"",""Topping use"",""Modern wellness routine""]",benefits,
sarson-black,Sarson Black,custom,usage,multi_line_text_field,"Sprinkle on bowls or salads, mix into yogurt or smoothies, or soak where the product is commonly used that way.",usage,
sarson-black,Sarson Black,custom,precautions,multi_line_text_field,"Use moderate portions and drink enough water when using fiber-rich seeds. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.",precautions,
sarson-black,Sarson Black,custom,storage,multi_line_text_field,"Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.",storage,
sarson-black,Sarson Black,custom,faqs,json,"[{""q"":""What is Sarson Black?"",""a"":""Sarson Black is a Morganics seeds product selected for practical pantry, kitchen, snacking, gifting or traditional-use routines depending on the ingredient.""},{""q"":""How can I use Sarson Black?"",""a"":""Sprinkle on bowls or salads, mix into yogurt or smoothies, or soak where the product is commonly used that way.""},{""q"":""How should I store Sarson Black?"",""a"":""Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive nuts, dried fruits or opened packs in hot/humid weather if needed.""},{""q"":""Is Sarson Black a medicine?"",""a"":""No. Morganics product content is for food, pantry and ingredient education only. It does not diagnose, cure, treat or prevent any disease.""}]",faqs,
sarson-black,Sarson Black,custom,keywords,multi_line_text_field,"Sarson Black, کالی سرسوں, Morganics Sarson Black, Sarson Black Pakistan, buy Sarson Black online, Sarson Black price in Pakistan, Seeds, Black Mustard, Honey, Daliya Oats, Dried Fruits, Quinoa",keywords,
sarson-black,Sarson Black,custom,aliases,list.single_line_text_field,"[""Black Mustard"",""Sarson Black"",""کالی سرسوں""]",aliases,
sarson-black,Sarson Black,custom,pairing_ideas,list.single_line_text_field,"[""Honey"",""Daliya Oats"",""Dried Fruits"",""Quinoa""]",pairingIdeas,
sarson-black,Sarson Black,custom,source_id,single_line_text_field,sarson-black,id,
sarson-black,Sarson Black,custom,source_sku,single_line_text_field,SAR-BLK-250,sku,
luban,Luban,custom,short_description,multi_line_text_field,"Luban is a Morganics gums & specialties item for summer drinks, desserts, texture-led recipes and traditional pantry use, packed for freshness, clear storage care and practical Pakistani ecommerce use.",shortDescription,
luban,Luban,custom,use_cases,list.single_line_text_field,"[""Summer drinks"",""Desserts"",""Texture-led recipes"",""Traditional pantry use""]",useCases,
luban,Luban,custom,benefits,list.single_line_text_field,"[""Cooling-drink relevance"",""Texture utility"",""Specialty ingredient value""]",benefits,
luban,Luban,custom,usage,multi_line_text_field,"Soak or prepare according to product type, then use in drinks, desserts or traditional recipes.",usage,
luban,Luban,custom,precautions,multi_line_text_field,"Prepare specialty gums correctly and start with small amounts. This product is not a medicine and does not diagnose, cure, treat or prevent any disease.",precautions,
luban,Luban,custom,storage,multi_line_text_field,"Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive opened packs in hot or humid weather if needed.",storage,
luban,Luban,custom,faqs,json,"[{""q"":""What is Luban?"",""a"":""Luban is a Morganics gums & specialties product selected for practical pantry, kitchen, snacking, gifting or traditional-use routines depending on the ingredient.""},{""q"":""How can I use Luban?"",""a"":""Soak or prepare according to product type, then use in drinks, desserts or traditional recipes.""},{""q"":""How should I store Luban?"",""a"":""Keep sealed in a cool, dry place away from sunlight, heat and moisture. Use a clean, dry spoon or scoop. Refrigerate sensitive nuts, dried fruits or opened packs in hot/humid weather if needed.""},{""q"":""Is Luban a medicine?"",""a"":""No. Morganics product content is for food, pantry and ingredient education only. It does not diagnose, cure, treat or prevent any disease.""}]",faqs,
